iteration,mean_reward,success_rate,lift_rate,min_xy_after_lift,bowl_radius_after_lift_rate,tight_radius_after_lift_rate,object_to_bowl_xy_reward,lifting_reward,lift_progress_reward
2571,86.32,0.0,0.8559,0.2662,0.0,0.0,1.881,10.851,3.6346
2572,83.45,0.0,0.8591,0.2711,0.0,0.0,1.8726,10.8627,3.6387
2573,87.63,0.0,0.8686,0.2682,0.0,0.0,1.9154,11.026,3.6927
2574,90.22,0.0,0.8915,0.2692,0.0,0.0,1.9534,11.2876,3.7804
2575,86.01,0.0,0.8569,0.2687,0.0,0.0,1.8714,10.8608,3.6386
2576,94.21,0.0,0.8626,0.2729,0.0,0.0,1.8819,10.9164,3.6571
2577,81.51,0.0,0.846,0.2701,0.0,0.0,1.8508,10.739,3.5968
2578,84.37,0.0,0.8612,0.2706,0.0,0.0,1.8732,10.8775,3.6437
2579,90.32,0.0,0.8551,0.2746,0.0,0.0,1.8705,10.8827,3.6456
2580,82.29,0.0,0.8562,0.2712,0.0,0.0,1.8488,10.6945,3.5827
2581,91.73,0.0,0.9068,0.2678,0.0,0.0,1.988,11.4487,3.8354
2582,85.94,0.0,0.8896,0.2715,0.0,0.0,1.925,11.089,3.7153
2583,81.91,0.0,0.8725,0.2697,0.0,0.0,1.908,11.0636,3.7065
2584,88.29,0.0,0.8466,0.2689,0.0,0.0,1.8386,10.5941,3.548
2585,86.92,0.0,0.8749,0.2689,0.0,0.0,1.9275,11.1076,3.7212
2586,86.95,0.0,0.8558,0.2698,0.0,0.0,1.8994,10.9217,3.6594
2587,88.36,0.0,0.8381,0.2637,0.0,0.0,1.8397,10.5126,3.5219
2588,85.58,0.0,0.8806,0.2625,0.0,0.0,1.9656,11.2047,3.754
2589,84.74,0.0,0.8689,0.2661,0.0,0.0,1.9282,11.0457,3.6991
2590,77.75,0.0,0.8404,0.2653,0.0,0.0,1.8468,10.4691,3.5054
2591,90.43,0.0,0.8692,0.2642,0.0,0.0,1.9397,11.0055,3.6864
2592,92.27,0.0,0.8788,0.268,0.0,0.0,1.9693,11.2183,3.7577
2593,81.12,0.0,0.8469,0.265,0.0,0.0,1.8678,10.549,3.5324
2594,77.05,0.0019,0.8316,0.2617,0.0019,0.0019,1.8239,10.237,3.4281
2595,83.77,0.0,0.8638,0.2606,0.0,0.0,1.9068,10.706,3.5852
2596,91.56,0.0,0.8649,0.2618,0.0,0.0,1.9264,10.8866,3.6466
2597,91.54,0.0,0.8646,0.2633,0.0,0.0,1.9361,10.9374,3.6647
2598,91.65,0.0,0.8834,0.263,0.0,0.0,1.991,11.2843,3.7791
2599,83.49,0.0,0.8732,0.2602,0.0,0.0,1.9403,10.915,3.6558
2600,87.65,0.0,0.8471,0.2611,0.0,0.0,1.902,10.7083,3.5854
2601,82.18,0.0,0.8535,0.2602,0.0,0.0,1.9158,10.7341,3.5955
2602,86.8,0.0,0.8317,0.2608,0.0,0.0,1.8634,10.4605,3.5026
2603,86.97,0.0,0.8624,0.2602,0.0,0.0,1.9513,10.9698,3.6747
2604,86.17,0.0,0.8548,0.2597,0.0,0.0,1.8875,10.5369,3.5284
2605,79.05,0.0,0.8406,0.2601,0.0,0.0,1.8828,10.5564,3.5355
2606,83.61,0.0,0.8609,0.2614,0.0,0.0,1.9297,10.807,3.6196
2607,91.01,0.0,0.8708,0.2597,0.0,0.0,1.9584,10.9431,3.664
2608,85.76,0.0,0.8697,0.2591,0.0,0.0,1.9655,10.9377,3.6632
2609,81.14,0.0,0.8752,0.2614,0.0,0.0,1.9731,11.0353,3.696
2610,83.64,0.0,0.8586,0.2586,0.0,0.0,1.9486,10.8686,3.6405
2611,87.47,0.0,0.8926,0.2561,0.0,0.0,2.0064,11.169,3.7414
2612,87.13,0.0,0.8736,0.2591,0.0,0.0,1.9595,10.9056,3.6516
2613,84.56,0.0,0.8756,0.2611,0.0,0.0,1.9887,11.1269,3.7273
2614,78.47,0.0,0.8343,0.2565,0.0,0.0,1.9093,10.5383,3.5296
2615,89.76,0.0,0.8663,0.2545,0.0,0.0,1.9784,10.905,3.6512
2616,81.72,0.0,0.8465,0.2608,0.0,0.0,1.9253,10.6544,3.5676
2617,80.98,0.0,0.8599,0.2576,0.0,0.0,1.9546,10.7696,3.6064
2618,83.8,0.0,0.8667,0.2597,0.0,0.0,1.9667,10.8571,3.6347
2619,89.09,0.0,0.8838,0.2565,0.0,0.0,2.0184,11.0796,3.7104
2620,86.42,0.0,0.8569,0.2619,0.0,0.0,1.9162,10.5475,3.5318
2621,81.4,0.0,0.8695,0.2613,0.0,0.0,1.9702,10.8845,3.6446
2622,89.07,0.0,0.8576,0.2586,0.0,0.0,1.9756,10.784,3.6043
2623,83.51,0.0,0.8708,0.2588,0.0,0.0,1.9819,10.9339,3.6627
2624,88.94,0.0,0.8857,0.2606,0.0,0.0,2.0405,11.2048,3.7527
2625,87.64,0.0,0.8863,0.2584,0.0,0.0,2.042,11.1694,3.7405
2626,81.78,0.0,0.865,0.2597,0.0,0.0,1.9655,10.6837,3.5769
2627,88.63,0.0,0.8652,0.261,0.0,0.0,1.9804,10.8913,3.648
